epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,180.977,0.61893,0.25201,0.00235,0.99675,0.98039,0.99462,0.86302,0.62725,0.20401,0.00289,0.0007196,0.0007196,0.0007196
99,182.738,0.62783,0.2518,0.00231,0.99534,0.98039,0.99462,0.86184,0.61453,0.20727,0.00292,0.0007064,0.0007064,0.0007064
100,184.488,0.58663,0.22358,0.0021,0.99775,1,0.995,0.86996,0.58268,0.18829,0.00283,0.0006932,0.0006932,0.0006932
101,186.241,0.64141,0.25594,0.00238,1,0.97873,0.99462,0.88477,0.55406,0.18148,0.00258,0.00068,0.00068,0.00068
102,188.041,0.66098,0.2511,0.00238,0.99691,0.98039,0.99462,0.88559,0.53567,0.18418,0.00253,0.0006668,0.0006668,0.0006668
103,189.805,0.60084,0.26401,0.0022,1,0.97681,0.99427,0.89415,0.53025,0.19313,0.00251,0.0006536,0.0006536,0.0006536
104,191.618,0.61664,0.24549,0.00232,0.99475,1,0.995,0.88598,0.5257,0.17832,0.00243,0.0006404,0.0006404,0.0006404
105,193.35,0.58056,0.2307,0.0021,1,0.97959,0.99427,0.86763,0.6095,0.21403,0.00297,0.0006272,0.0006272,0.0006272
106,195.128,0.59378,0.2363,0.00227,0.97131,0.98039,0.99366,0.8557,0.65465,0.22752,0.00319,0.000614,0.000614,0.000614
107,196.888,0.61797,0.23826,0.0022,0.99925,0.98039,0.99481,0.88148,0.55414,0.17456,0.00261,0.0006008,0.0006008,0.0006008
108,198.598,0.62469,0.23747,0.0022,0.99799,0.98039,0.99462,0.88368,0.5689,0.19602,0.00269,0.0005876,0.0005876,0.0005876
109,200.393,0.61212,0.23467,0.00206,0.98009,1,0.99442,0.87617,0.56255,0.18409,0.00266,0.0005744,0.0005744,0.0005744
110,202.189,0.62629,0.24227,0.0023,1,0.99467,0.995,0.86625,0.59278,0.18728,0.00286,0.0005612,0.0005612,0.0005612
111,203.986,0.63324,0.25075,0.00217,0.99979,1,0.995,0.85244,0.63003,0.19165,0.00308,0.000548,0.000548,0.000548
112,205.756,0.6053,0.25034,0.0022,1,0.99861,0.995,0.86867,0.54209,0.17552,0.00252,0.0005348,0.0005348,0.0005348
113,207.539,0.62388,0.2543,0.00227,0.99806,0.98039,0.99462,0.86748,0.58922,0.19531,0.0028,0.0005216,0.0005216,0.0005216
114,209.282,0.59752,0.23684,0.00229,0.99597,0.98039,0.99481,0.86771,0.572,0.18767,0.00265,0.0005084,0.0005084,0.0005084
115,210.99,0.61864,0.23872,0.00222,0.99828,0.98039,0.99481,0.87479,0.55318,0.1759,0.00253,0.0004952,0.0004952,0.0004952
116,212.812,0.59802,0.22585,0.00208,0.99686,0.98039,0.99427,0.85767,0.5921,0.19773,0.00285,0.000482,0.000482,0.000482
117,214.608,0.62125,0.24489,0.00256,1,0.99869,0.995,0.8806,0.56861,0.17076,0.00274,0.0004688,0.0004688,0.0004688
118,216.371,0.57892,0.22397,0.00194,0.99602,0.98039,0.99444,0.86786,0.56778,0.18799,0.00271,0.0004556,0.0004556,0.0004556
119,218.102,0.61837,0.22986,0.00219,0.95702,0.98039,0.99208,0.86514,0.60455,0.22551,0.00294,0.0004424,0.0004424,0.0004424
120,220.002,0.61037,0.24163,0.00212,0.97733,1,0.99481,0.89474,0.54551,0.18108,0.00251,0.0004292,0.0004292,0.0004292
121,221.767,0.62494,0.23684,0.0022,0.96871,0.98039,0.99423,0.87625,0.5546,0.20418,0.00257,0.000416,0.000416,0.000416
122,223.57,0.59301,0.23201,0.0022,0.97917,1,0.99288,0.88134,0.5577,0.19902,0.00256,0.0004028,0.0004028,0.0004028
123,225.339,0.5575,0.22667,0.002,0.99804,0.98039,0.99462,0.88258,0.54,0.19801,0.00256,0.0003896,0.0003896,0.0003896
124,227.079,0.57942,0.23502,0.00194,0.97483,0.96078,0.99074,0.87649,0.53768,0.24456,0.0025,0.0003764,0.0003764,0.0003764
125,228.917,0.57433,0.22192,0.00197,0.97322,0.96078,0.99234,0.87436,0.55682,0.22415,0.00258,0.0003632,0.0003632,0.0003632
126,230.669,0.58206,0.22817,0.00203,0.98668,0.96078,0.99388,0.8777,0.5406,0.21537,0.00257,0.00035,0.00035,0.00035
127,232.404,0.56295,0.21352,0.00203,1,0.99817,0.995,0.87454,0.54084,0.18858,0.00254,0.0003368,0.0003368,0.0003368
128,234.127,0.57108,0.2139,0.002,0.97776,1,0.99404,0.88213,0.52847,0.19599,0.00248,0.0003236,0.0003236,0.0003236
129,235.949,0.56271,0.21675,0.00189,0.97584,0.98039,0.99366,0.87363,0.55506,0.20732,0.00262,0.0003104,0.0003104,0.0003104
130,237.708,0.58034,0.21658,0.00214,0.96206,0.99458,0.99423,0.88279,0.53374,0.19418,0.00245,0.0002972,0.0002972,0.0002972
131,239.519,0.56642,0.21667,0.00186,1,0.95567,0.99333,0.87383,0.55166,0.20071,0.00251,0.000284,0.000284,0.000284
132,241.271,0.57802,0.22065,0.00212,0.94067,1,0.99293,0.87812,0.53034,0.19328,0.00245,0.0002708,0.0002708,0.0002708
133,243.085,0.57521,0.21505,0.00218,1,0.96073,0.99368,0.88494,0.51024,0.18447,0.00234,0.0002576,0.0002576,0.0002576
134,244.865,0.58137,0.21215,0.00204,0.99943,1,0.995,0.88302,0.52078,0.16288,0.00236,0.0002444,0.0002444,0.0002444
135,246.642,0.56147,0.21054,0.00208,1,0.99827,0.995,0.88666,0.51558,0.16729,0.00241,0.0002312,0.0002312,0.0002312
136,248.405,0.55935,0.21803,0.00189,0.98054,0.98799,0.99481,0.88634,0.52067,0.17747,0.00237,0.000218,0.000218,0.000218
137,250.133,0.54085,0.21407,0.00192,1,0.97868,0.99462,0.88684,0.49755,0.17671,0.0022,0.0002048,0.0002048,0.0002048
138,251.962,0.54897,0.22738,0.0021,1,0.97822,0.99481,0.88677,0.49927,0.17232,0.00224,0.0001916,0.0001916,0.0001916
139,253.759,0.53985,0.21607,0.00192,0.98062,0.992,0.99442,0.88221,0.51227,0.183,0.00227,0.0001784,0.0001784,0.0001784
140,255.608,0.56339,0.20952,0.00199,0.98072,0.99721,0.99481,0.89062,0.50481,0.17544,0.0023,0.0001652,0.0001652,0.0001652
