epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
122,1376.33,0.15599,0.24102,0.03727,0.99867,1,0.995,0.89844,0.13896,0.22742,0.03361,0.0004028,0.0004028,0.0004028
123,1387.54,0.15321,0.24836,0.03296,0.99872,1,0.995,0.91178,0.13369,0.22473,0.03374,0.0003896,0.0003896,0.0003896
124,1399.16,0.14923,0.23325,0.03225,0.99885,1,0.995,0.90615,0.13637,0.22638,0.03481,0.0003764,0.0003764,0.0003764
125,1410.3,0.15407,0.24287,0.03562,0.99885,1,0.995,0.91125,0.13445,0.22291,0.0344,0.0003632,0.0003632,0.0003632
126,1421.59,0.16169,0.24538,0.03396,0.99839,1,0.995,0.89906,0.13691,0.22478,0.03434,0.00035,0.00035,0.00035
127,1432.75,0.16046,0.24599,0.03635,0.99876,1,0.995,0.9073,0.13348,0.22031,0.03325,0.0003368,0.0003368,0.0003368
128,1443.88,0.15694,0.24082,0.03378,0.99867,1,0.995,0.90909,0.13233,0.22305,0.03431,0.0003236,0.0003236,0.0003236
129,1455.11,0.15001,0.2435,0.03265,0.99886,1,0.995,0.90328,0.13431,0.22358,0.03472,0.0003104,0.0003104,0.0003104
130,1466.31,0.16633,0.24013,0.03584,0.99881,1,0.995,0.91426,0.13529,0.22367,0.03485,0.0002972,0.0002972,0.0002972
131,1477.94,0.15289,0.24143,0.0342,0.99887,1,0.995,0.91208,0.13225,0.22187,0.03457,0.000284,0.000284,0.000284
132,1489.16,0.15023,0.234,0.03269,0.99845,1,0.995,0.90683,0.12993,0.21978,0.03356,0.0002708,0.0002708,0.0002708
133,1500.31,0.15017,0.23436,0.03423,0.99887,1,0.995,0.90364,0.13406,0.22431,0.03386,0.0002576,0.0002576,0.0002576
134,1511.42,0.15286,0.23489,0.03531,0.99888,1,0.995,0.90189,0.13238,0.21924,0.03288,0.0002444,0.0002444,0.0002444
135,1522.61,0.1544,0.23456,0.03387,0.99884,1,0.995,0.9056,0.131,0.22003,0.03284,0.0002312,0.0002312,0.0002312
136,1533.81,0.15304,0.22858,0.03565,0.99888,1,0.995,0.90193,0.13296,0.21954,0.03347,0.000218,0.000218,0.000218
137,1544.96,0.14616,0.22876,0.02907,0.99887,1,0.995,0.90847,0.12673,0.21543,0.03275,0.0002048,0.0002048,0.0002048
138,1556.1,0.149,0.22803,0.03366,0.99865,1,0.995,0.91283,0.12833,0.21881,0.03248,0.0001916,0.0001916,0.0001916
139,1567.26,0.14916,0.23695,0.03408,0.99888,1,0.995,0.91181,0.12762,0.21412,0.03301,0.0001784,0.0001784,0.0001784
140,1578.6,0.14399,0.23137,0.0327,0.99888,1,0.995,0.91188,0.12913,0.21457,0.03288,0.0001652,0.0001652,0.0001652
141,1613.83,0.12599,0.20798,0.03629,0.99885,1,0.995,0.91297,0.12912,0.2172,0.03366,0.000152,0.000152,0.000152
142,1625.07,0.12741,0.21044,0.03525,0.99873,1,0.995,0.90112,0.13034,0.21966,0.03309,0.0001388,0.0001388,0.0001388
143,1636.28,0.11936,0.20357,0.03249,0.99882,1,0.995,0.90893,0.1251,0.21508,0.03309,0.0001256,0.0001256,0.0001256
144,1647.46,0.12107,0.20341,0.03232,0.99884,1,0.995,0.90314,0.13072,0.22292,0.03363,0.0001124,0.0001124,0.0001124
145,1658.67,0.12878,0.20781,0.03731,0.99884,1,0.995,0.91044,0.12809,0.21931,0.0335,9.92e-05,9.92e-05,9.92e-05
146,1669.68,0.12243,0.20475,0.03372,0.99885,1,0.995,0.90408,0.12938,0.21712,0.03337,8.6e-05,8.6e-05,8.6e-05
147,1680.84,0.1152,0.19957,0.03229,0.99887,1,0.995,0.89777,0.13363,0.22452,0.03353,7.28e-05,7.28e-05,7.28e-05
148,1692.12,0.12108,0.20332,0.03365,0.99888,1,0.995,0.90825,0.13217,0.22128,0.03385,5.96e-05,5.96e-05,5.96e-05
149,1703.28,0.11667,0.20137,0.03107,0.99888,1,0.995,0.90137,0.1274,0.2176,0.0328,4.64e-05,4.64e-05,4.64e-05
150,1714.52,0.11193,0.19696,0.02993,0.99882,1,0.995,0.90282,0.12893,0.21718,0.03287,3.32e-05,3.32e-05,3.32e-05
