epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
124,3064.17,0.15689,0.24901,0.03356,0.99421,1,0.995,0.92664,0.1108,0.20571,0.03413,0.0003764,0.0003764,0.0003764
125,3088.51,0.15681,0.24709,0.03392,0.99576,1,0.995,0.92428,0.11448,0.20688,0.03287,0.0003632,0.0003632,0.0003632
126,3113.1,0.15228,0.23753,0.03355,0.99441,1,0.995,0.92049,0.11294,0.2071,0.03413,0.00035,0.00035,0.00035
127,3137.56,0.14748,0.2336,0.03034,0.99809,1,0.995,0.91774,0.11123,0.20103,0.03447,0.0003368,0.0003368,0.0003368
128,3162.13,0.14419,0.23309,0.0312,0.99827,1,0.995,0.92178,0.1083,0.19917,0.03281,0.0003236,0.0003236,0.0003236
129,3186.52,0.15106,0.23475,0.03293,0.99845,1,0.995,0.92829,0.10817,0.19601,0.03348,0.0003104,0.0003104,0.0003104
130,3211.42,0.15374,0.23823,0.03477,0.99815,1,0.995,0.92633,0.10757,0.19662,0.03427,0.0002972,0.0002972,0.0002972
131,3235.83,0.14988,0.23282,0.03292,0.9985,1,0.995,0.91886,0.11026,0.19864,0.03448,0.000284,0.000284,0.000284
132,3260.4,0.14479,0.2333,0.03147,0.99856,1,0.995,0.92157,0.11037,0.20186,0.03373,0.0002708,0.0002708,0.0002708
133,3284.8,0.13817,0.22816,0.03077,0.99811,1,0.995,0.92493,0.11086,0.20289,0.03353,0.0002576,0.0002576,0.0002576
134,3309.26,0.14366,0.22548,0.03049,0.99876,1,0.995,0.91438,0.11091,0.20026,0.03372,0.0002444,0.0002444,0.0002444
135,3333.78,0.15228,0.23443,0.03157,0.99866,1,0.995,0.9252,0.10782,0.19648,0.03159,0.0002312,0.0002312,0.0002312
136,3358.41,0.14909,0.23466,0.03268,0.99782,1,0.995,0.92933,0.10661,0.19797,0.03211,0.000218,0.000218,0.000218
137,3383.23,0.13534,0.22235,0.02907,0.99799,1,0.995,0.92431,0.10572,0.19332,0.03205,0.0002048,0.0002048,0.0002048
138,3407.73,0.14316,0.22307,0.03447,0.99836,1,0.995,0.93095,0.10619,0.19126,0.03126,0.0001916,0.0001916,0.0001916
139,3432.64,0.1456,0.22985,0.03211,0.99804,1,0.995,0.92644,0.10615,0.19354,0.03162,0.0001784,0.0001784,0.0001784
140,3457.04,0.13665,0.22197,0.0294,0.99824,1,0.995,0.93042,0.10459,0.19181,0.03176,0.0001652,0.0001652,0.0001652
141,3505.47,0.11773,0.19977,0.0317,0.99857,0.99107,0.995,0.9231,nan,nan,nan,0.000152,0.000152,0.000152
142,3530.01,0.12004,0.20385,0.03122,0.99874,0.99107,0.995,0.92597,nan,nan,nan,0.0001388,0.0001388,0.0001388
143,3554.53,0.11751,0.19865,0.03359,0.99873,1,0.995,0.92886,0.10622,0.19178,0.03148,0.0001256,0.0001256,0.0001256
144,3579.01,0.11191,0.19628,0.02883,0.9988,0.99107,0.995,0.92706,nan,nan,nan,0.0001124,0.0001124,0.0001124
145,3603.71,0.11207,0.19461,0.03023,0.99872,0.97321,0.975,0.90412,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
146,3628.14,0.11281,0.19676,0.02907,0.99888,0.98214,0.985,0.91582,nan,nan,nan,8.6e-05,8.6e-05,8.6e-05
147,3652.7,0.11158,0.19532,0.0285,0.9988,0.99107,0.995,0.92072,nan,nan,nan,7.28e-05,7.28e-05,7.28e-05
148,3677.09,0.10974,0.19691,0.02833,0.99862,0.99107,0.995,0.92587,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
149,3701.5,0.11374,0.19733,0.02932,0.99876,0.99107,0.995,0.92785,nan,nan,nan,4.64e-05,4.64e-05,4.64e-05
150,3725.92,0.11202,0.19526,0.02833,0.99876,0.99107,0.995,0.93053,nan,nan,nan,3.32e-05,3.32e-05,3.32e-05
